epoch,accuracy,loss,val_accuracy,val_loss
0,0.36756157875061035,1.3261020183563232,0.41786742210388184,1.2771973609924316
1,0.6537503600120544,0.9882534146308899,0.6541786789894104,0.934160590171814
2,0.8012731671333313,0.5717348456382751,0.6685879230499268,0.8144194483757019
3,0.8588430881500244,0.3954472243785858,0.6945244669914246,0.8113997578620911
4,0.897038459777832,0.303558349609375,0.6916426420211792,0.8434727787971497
5,0.9180735945701599,0.24183307588100433,0.6974063515663147,0.8972141742706299
6,0.9352338910102844,0.19626709818840027,0.651296854019165,0.9615650773048401
7,0.9496263265609741,0.1624564677476883,0.6599423885345459,1.0336905717849731
8,0.9568225741386414,0.1373709887266159,0.6916426420211792,1.0509140491485596
9,0.9645723700523376,0.11809265613555908,0.6743515729904175,1.1189515590667725
10,0.9670633673667908,0.11187669634819031,0.6772334575653076,1.2026392221450806
11,0.9695543646812439,0.10611778497695923,0.6628242135047913,1.2016870975494385
12,0.9725989699363708,0.095199353992939,0.6628242135047913,1.2214795351028442
13,0.9748131632804871,0.08880695700645447,0.651296854019165,1.2881619930267334
14,0.9739828109741211,0.082488052546978,0.6714697480201721,1.3182817697525024
15,0.976473867893219,0.07738697528839111,0.680115282535553,1.329383373260498
16,0.9761970639228821,0.07223992049694061,0.6685879230499268,1.3543659448623657
17,0.975643515586853,0.06954146176576614,0.6743515729904175,1.3863089084625244
18,0.9781345129013062,0.06191448122262955,0.6628242135047913,1.39834725856781
19,0.977027416229248,0.06587114185094833,0.6743515729904175,1.4199169874191284
20,0.975089967250824,0.06538768857717514,0.6599423885345459,1.4645845890045166
21,0.9781345129013062,0.0645347535610199,0.6599423885345459,1.449051022529602
22,0.9773041605949402,0.06676427274942398,0.6685879230499268,1.4548691511154175
23,0.9789648652076721,0.058711301535367966,0.680115282535553,1.467151165008545
24,0.9778577089309692,0.057089295238256454,0.6685879230499268,1.509883165359497
